ПриватБанк;25.000;28.000
Райффайзен Банк Аваль;26.200;26.700
Укрсоцбанк;26.050;27.400
OTP Bank;26.300;26.900
Банк Пивденный;25.500;27.500
Таскомбанк;25.500;26.800
Аккордбанк;24.600;26.690
Вернум Банк;26.100;26.850
Укргазбанк;25.000;26.850
Международный Инвестиционный Банк;25.800;26.600
Клиринговый Дом;26.400;27.100
Регион-банк;25.700;27.300
Экспресс-Банк;25.350;26.750
Индустриалбанк;25.900;27.000
Банк Богуслав;25.800;26.700
ОКСИ Банк;25.500;26.900
Универсал Банк;26.250;27.150
Мотор-банк;24.800;26.800
Первый Инвестиционный банк;23.000;26.400
Диви Банк;26.100;27.000
Юнекс Банк;25.700;26.700
Центр;25.300;26.650
Банк 3/4;25.900;26.900
Укрэксимбанк;26.220;27.340
ВТБ Банк;25.380;27.230
Апекс-банк;24.000;28.000
Аркада;26.100;26.330
Кредит Днепр;24.700;26.700
Креди Агриколь Банк;26.000;27.200
Правэкс-банк;25.500;26.250
Мисто Банк;25.000;27.000
БТА Банк;26.100;27.150
УкрСиббанк;26.000;27.050
ПУМБ;25.000;26.500
Глобус;26.100;26.700
