ПриватБанк;26.250;26.550
Райффайзен Банк Аваль;26.250;26.550
Альфа-Банк;26.300;26.550
Укрсоцбанк;26.300;26.550
OTP Bank;26.250;26.450
Банк Пивденный;26.310;26.490
ПроКредит Банк;26.150;26.550
Кредобанк;26.200;26.500
Таскомбанк;26.250;26.400
Аккордбанк;26.310;26.430
УкрСиббанк;26.270;26.500
Регион-банк;26.000;26.500
Банк 3/4;26.250;26.550
Укргазбанк;26.250;26.700
Кредитвест Банк;26.300;26.500
Конкорд;26.180;26.480
Банк Фамильный;25.500;26.500
МетаБанк;26.260;26.410
Банк Форвард (Forward Bank);26.290;26.350
Агропросперис Банк (Астра Банк);26.250;26.450
Мисто Банк;26.200;26.550
Банк Богуслав;26.200;26.400
Кредит Оптима Банк;26.200;26.700
Европромбанк;26.250;26.550
Marfin Bank;26.300;26.480
Индустриалбанк;26.250;26.500
Клиринговый Дом;26.250;26.550
ПУМБ;26.200;26.500
Поликомбанк;26.250;26.450
Укрэксимбанк;26.280;26.550
Траст-капитал;26.270;26.450
Апекс-банк;26.100;26.500
Земельный Капитал;26.000;26.400
Банк Финансовый Партнёр;26.250;26.550
Международный Инвестиционный Банк;26.280;26.400
ПФБ;26.200;26.500
Грант;26.000;26.500
Айбокс Банк (АгроКомБанк);26.250;26.500
БТА Банк;26.250;26.400
Банк Портал;26.250;26.550
Банк Инвестиций и Сбережений;26.310;26.390
Сич;26.250;26.450
Полтава-Банк;26.250;26.550
Центр;26.250;26.400
РВС Банк;26.270;26.430
Сбербанк;26.330;26.450
Новый;26.150;26.650
Мотор-банк;26.270;26.430
Первый Инвестиционный банк;26.150;26.450
ОКСИ Банк;26.250;26.470
Экспресс-Банк;26.330;26.490
Проминвестбанк;26.300;26.450
Вернум Банк;26.250;26.550
Универсал Банк;26.250;26.500
БМ Банк;26.250;26.440
Правэкс-банк;26.200;26.390
Аркада;26.150;26.370
Укрстройинвестбанк;26.280;26.420
Кредит Европа Банк;26.250;26.550
Коммерческий Индустриальный Банк;26.200;26.450
Радабанк;26.250;26.450
Идея Банк;26.250;26.500
А-Банк;26.200;26.500
Пиреус Банк;26.280;26.460
Юнекс Банк;26.250;26.470
Асвио банк;26.000;26.500
Коминвестбанк;26.250;26.370
Креди Агриколь Банк;26.300;26.500
Банк Альянс;26.280;26.500
Глобус;26.270;26.370
Ощадбанк;26.240;26.550
Альпари Банк;26.250;26.600
ВТБ Банк;26.000;26.700
Кредит Днепр;26.300;26.500
Львов;26.150;26.500
Диви Банк;26.300;26.500
ВиЭс Банк;26.210;26.450
Банк Восток;26.100;26.350
Кристалбанк;26.150;26.470
